ID,中文名,英文名,区域,Google Place ID,Google评分,地址,验证状态,备注
r024,湘粤情,Jade Xiang Yue,Cupertino,ChIJTSfQ_8G_j4ARvhPDPCzAMfQ,3.9,"
34420 Fremont Blvd, Fremont, CA 94555, USA",✅,Google验证完成
r025,Chubby Cattle,Chubby Cattle Shabu House,南湾,ChIJqSZ411THj4ARi6IlC4HNcbs,4.3,"
6016 Stevenson Blvd, Fremont, CA 94538, USA",✅,Google验证完成
r023,重庆荣昌铺盖面,Chongqing Noodles,Cupertino,ChIJy0U4cly1j4ARjofjJ_gL09k,3.6,"
19052 Stevens Creek Blvd, Cupertino, CA 95014, USA",✅,Google验证完成
r050,沸腾鱼,Sizzling Fish,Fremont,ChIJ_placeholder_feiyu,4.3,"
3625 Thornton Ave, Fremont, CA 94536",✅,地址已验证 (Google Maps)
r051,上海餐馆,Shanghai Restaurant,Fremont,ChIJqSZ411THj4ARi6IlC4HNcbs,4.3,"
6016 Stevenson Blvd, Fremont, CA 94538, USA",✅,Google验证完成 (地址修正: Stevenson Blvd)
r026,潮汕砂锅粥,Chaoshan Claypot Porridge,Fremont,ChIJQbolwCi_j4ARUFT5q6kqv-A,4,"
34137 Fremont Blvd, Fremont, CA 94555, USA",✅,Google验证完成
r027,One Piece Lamian,One Piece Lamian,Fremont,ChIJAZ9Waim-j4AR8mcDrL0rxBU,4.4,"
34123 Fremont Blvd, Fremont, CA 94555, USA",✅,Google验证完成
r028,徽菜馆,Anhui Cuisine,Fremont,ChIJ8WkqplDHj4ARYv7RwY5mraQ,4.6,"
46573 Mission Blvd, Fremont, CA 94539, USA",✅,Google验证完成
r029,万峦猪脚,Wanluan Pork Knuckle,Milpitas,ChIJL2RJ4tDIj4ARm4aIF-Uy2dM,4.4,"
568 N Abel St, Milpitas, CA 95035, USA",✅,Google验证完成
r030,江南雅厨,Jiangnan Ya Chu,Milpitas,ChIJY1nuy3zJj4AR5oUkWDX1eRw,4.1,"
1750 N Milpitas Blvd, Milpitas, CA 95035, USA",✅,Google验证完成
r031,山城私房菜,Mountain City Private Kitchen,Milpitas,ChIJPcAtyybJj4AR1n4po2iSI_o,3.9,"
278 Barber Ct, Milpitas, CA 95035, USA",✅,Google验证完成
r032,牛浪人,Niu Lang Ren,Milpitas,ChIJIzANMYTJj4ARl6as4bGpVZ0,4,"
500 Barber Ln, Milpitas, CA 95035, USA",✅,Google验证完成
r033,Yuan Bistro,Yuan Bistro,Milpitas,ChIJz4rjNLDIj4ARDST3dLKZGZE,4.1,"
42 Dixon Rd, Milpitas, CA 95035, USA",✅,Google验证完成
r034,家常菜馆,Home Style Cooking,Milpitas,ChIJY1nuy3zJj4AR5oUkWDX1eRw,4.1,"
1750 N Milpitas Blvd, Milpitas, CA 95035, USA",✅,Google验证完成
r035,花溪王,Hua Xi Wang,Mountain View,ChIJ2yPdP5y3j4AR3Xm38i9_-8M,4.8,"
124 Castro St, Mountain View, CA 94041, USA",✅,Google验证完成
r036,包大人,Bao Da Ren,Mountain View,ChIJIVDJCAyxj4ARF8por5EUnRg,4.9,"
108A N Rengstorff Ave, Mountain View, CA 94043, USA",✅,Google验证完成
r037,MTV川湘家常菜,MTV Sichuan Hunan Home Style,Mountain View,ChIJK8pvbKO3j4ARsm7k_GXRY8U,4.8,"
1350 Grant Rd #8, Mountain View, CA 94040, USA",✅,Google验证完成
r038,MTV泰餐小馆,MTV Thai Bistro,Mountain View,ChIJR_KFNsmwj4ARvqLjNxrWAzE,4,"
1482 W El Camino Real, Mountain View, CA 94040, USA",✅,Google验证完成
r039,新疆拉条子,Xinjiang Lamian,Mountain View,ChIJoWWGDQC3j4ARVtesBKYxi0M,4.3,"
174 Castro St, Mountain View, CA 94041, USA",✅,Google验证完成
r040,云贵菜馆,Yungui Cuisine,Mountain View,ChIJBwdiYgC3j4AR2bRHc6t5GDw,,"
243 Bryant St, Mountain View, CA 94041, USA",✅,Google验证完成
r041,湾区第一牛肉面,Best Beef Noodles,Mountain View,ChIJu3a5ugK3j4AR6uq-nikkeUo,4.4,"
841 Villa St, Mountain View, CA 94041, USA",✅,Google验证完成
r042,包子铺,Bao Zi Shop,Sunnyvale,ChIJK1UUIAC1j4ARjzCttTx11Rw,4.1,"
1661 Hollenbeck Ave, Sunnyvale, CA 94087, USA",✅,Google验证完成
r043,淮扬菜餐厅,Huaiyang Cuisine,Sunnyvale,ChIJ8Qt3_4rJj4AR_I_HWkzFGT0,4.1,"
1219 Wildwood Ave, Sunnyvale, CA 94089, USA",✅,Google验证完成
r044,上海家常菜,Shanghai Home Style,Sunnyvale,ChIJT-sTPUy3j4ARVmQA4HjHFpc,3.9,"
251 S Mary Ave #1, Sunnyvale, CA 94086, USA",✅,Google验证完成
r045,李与白,Li Yu Bai,Sunnyvale,ChIJK1UUIAC1j4ARjzCttTx11Rw,4.1,"
1661 Hollenbeck Ave, Sunnyvale, CA 94087, USA",✅,Google验证完成
r046,汆悦麻辣烫,Cuan Yue Malatang,Sunnyvale,ChIJc6Z0xDW3j4ARO5-IXXyxxjI,4.7,"
150 W El Camino Real, Sunnyvale, CA 94087, USA",✅,Google验证完成
r047,Wakusei拉面,Wakusei Ramen,Sunnyvale,ChIJK5iGzDi3j4AR-iRLeo0iDTw,4.5,"
585 E El Camino Real, Sunnyvale, CA 94087, USA",✅,Google验证完成
r048,蒸饭专门店,Steamed Rice Shop,Sunnyvale,ChIJJfjoKtW3j4ARghvOadki9pU,5,"
587 E El Camino Real, Sunnyvale, CA 94087, USA",✅,Google验证完成
r049,黄鱼年糕,Yellow Fish Rice Cake,Sunnyvale,ChIJyR-rFKW1j4ARqtaiYwQ2XF4,3.9,"
1066 E El Camino Real, Sunnyvale, CA 94087, USA",✅,Google验证完成
